year,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance,Source Port/Label
1,31.35582591,31.35582591,47,63,52.33333333,85.33333333,41381    BENIGN
2,9.685511443,9.685511443,32,48,37.33333333,85.33333333,56846    BENIGN
3,16.24985781,16.24985781,31,117,59.66666667,2465.333333,12779    BENIGN
4,20.05414619,20.05414619,27,102,52,1875,38796    BENIGN
5,142.1464108,142.1464108,0,0,0,0,443    BENIGN
6,291.7152859,291.7152859,0,0,0,0,80    BENIGN
7,6.511010118,6.511010118,18,26,21.63636364,17.45454545,60774    BENIGN
8,20.86898452,20.86898452,32,168,77.33333333,6165.333333,7149    BENIGN
9,16.50083329,16.50083329,51,176,92.66666667,5208.333333,23715    BENIGN
10,21.74480299,65.23440898,0,0,0,0,443    BENIGN
11,1.269033117,0,0,0,0,0,33408    SCAREWARE
12,0.569316624,0.47443052,0,237,37,6061.636364,42207    SCAREWARE
13,1.244328689,0.904966319,0,1448,213.05,196866.5763,53482    SCAREWARE
14,0.517247206,0.632191029,0,1460,275.6666667,191698.4333,60837    SCAREWARE
15,8.002016508,8.002016508,0,31,6.2,192.2,443    SCAREWARE
16,0.056126611,0,0,0,0,0,0    SCAREWARE
17,831.9467554,831.9467554,33,49,38.33333333,85.33333333,25795    SCAREWARE
18,831.9467554,831.9467554,33,49,38.33333333,85.33333333,25795    SCAREWARE
19,41.56160816,13.85386939,0,637,254.8,121730.7,80    SCAREWARE
20,32.27368081,32.27368081,29,45,34.33333333,85.33333333,1091    SCAREWARE
21,222222.2222,0,0,42,28,588,443    SMSMALWARE_BEANBOT
22,120000,0,0,42,10.5,441,40585    SMSMALWARE_BEANBOT
23,27.3732618,27.3732618,0,0,0,0,55466    SMSMALWARE_BEANBOT
24,26.65813606,26.65813606,0,0,0,0,36769    SMSMALWARE_BEANBOT
25,2.23406941,1.861724508,0,1460,274.2608696,193060.2016,60533    SMSMALWARE_BEANBOT
26,0.433627383,0.507436299,0,269,31.65048544,3320.249191,5222    SMSMALWARE_BEANBOT
27,0.039656994,0,0,0,0,0,0    SMSMALWARE_BEANBOT
28,0.642966907,1.285933813,0,0,0,0,80    SMSMALWARE_BEANBOT
29,1.921561846,1.921561846,26,78,43.33333333,901.3333333,1428    SMSMALWARE_BEANBOT
30,4329.004329,4329.004329,21,21,21,0,3332    SMSMALWARE_BEANBOT
