group,variable,value
80,6,0
443,6,0
1200,17,0
1310,17,0
1508,17,0
1545,17,0
1574,17,0
1604,17,0
1692,17,0
1765,17,0
1908,17,0
2076,17,0
2280,17,0
22575,17,0
22577,17,0
22578,17,0
22579,17,0
22581,17,0
22583,17,0
22585,17,0
22586,17,0
22587,17,0
22589,17,0
22590,17,0
22591,17,0
22592,17,0
22595,17,0
22597,17,0
22598,17,0
22599,17,0
22600,17,0
22601,17,0
22604,17,0
22607,17,0
22609,17,0
22611,17,0
22614,17,0
22615,17,0
22616,17,0
22617,17,0
22618,17,0
22620,17,0
22621,17,0
22622,17,0
22625,17,0
22626,17,0
22629,17,0
22630,17,0
22634,17,0
22635,17,0
22636,17,0
22637,17,0
0,0,1
68,17,1
80,6,1
443,6,1
1044,17,1
1047,17,1
1050,17,1
1053,17,1
1066,17,1
1079,17,1
1084,17,1
1085,17,1
1096,17,1
1099,17,1
1116,17,1
1121,17,1
1123,17,1
1126,17,1
1139,17,1
1148,17,1
1152,17,1
1155,17,1
1160,17,1
1162,17,1
1177,17,1
1178,17,1
1181,17,1
1184,17,1
1190,17,1
1209,17,1
1214,17,1
1215,17,1
1220,17,1
1222,17,1
1236,17,1
1237,17,1
1240,17,1
1242,17,1
1249,17,1
1259,17,1
1260,17,1
1264,17,1
1265,17,1
1266,17,1
1271,17,1
1272,17,1
1276,17,1
1277,17,1
